city,lat,lng,country,iso2,iso3,id
Belgrade,44.82,20.46,Serbia,RS,SRB,1688374696
Zagreb,45.8167,15.9833,Croatia,HR,HRV,1191233290
Skopje,41.9961,21.4317,Macedonia,MK,MKD,1807600615
Sarajevo,43.8564,18.4131,Bosnia and Herzegovina,BA,BIH,1070966777
Novi Sad,45.2542,19.8425,Serbia,RS,SRB,1688169087
Banja Luka,44.7725,17.1925,Bosnia and Herzegovina,BA,BIH,1070859064
Rijeka,45.3272,14.4411,Croatia,HR,HRV,1191949063
Nis,43.3192,21.8961,Serbia,RS,SRB,1688661068
Split,43.51,16.44,Croatia,HR,HRV,1191440208
Zemun,44.85,20.4,Serbia,RS,SRB,1688453076
Kragujevac,44.0142,20.9394,Serbia,RS,SRB,1688832387
Tetovo,42.0103,20.9714,Macedonia,MK,MKD,1807020286
Bijeljina,44.75,19.2167,Bosnia and Herzegovina,BA,BIH,1070522751
Mostar,43.3436,17.8075,Bosnia and Herzegovina,BA,BIH,1070000220
Tuzla,44.5381,18.6761,Bosnia and Herzegovina,BA,BIH,1070117835
Valjevo,44.2667,19.8833,Serbia,RS,SRB,1688926375
Loznica,44.5333,19.2258,Serbia,RS,SRB,1688071221
Osijek,45.5556,18.6944,Croatia,HR,HRV,1191917921
Sremska Mitrovica,44.97,19.6125,Serbia,RS,SRB,1688974283
Zrenjanin,45.3833,20.3894,Serbia,RS,SRB,1688827840
Pancevo,44.8706,20.6403,Serbia,RS,SRB,1688356974
Zadar,44.1194,15.2319,Croatia,HR,HRV,1191160875
Bitola,41.0319,21.3347,Macedonia,MK,MKD,1807488567
Stara Pazova,44.9833,20.1667,Serbia,RS,SRB,1688866909
Cacak,43.8914,20.3497,Serbia,RS,SRB,1688216463
Kumanovo,42.1322,21.7144,Macedonia,MK,MKD,1807301219
Novi Pazar,43.15,20.5167,Serbia,RS,SRB,1688435541
Kraljevo,43.7234,20.687,Serbia,RS,SRB,1688625234
Prilep,41.3464,21.5542,Macedonia,MK,MKD,1807551778
Leskovac,42.9981,21.9461,Serbia,RS,SRB,1688752541
Uzice,43.85,19.85,Serbia,RS,SRB,1688591624
Krusevac,43.5833,21.3267,Serbia,RS,SRB,1688595236
Slavonski Brod,45.1667,18.0167,Croatia,HR,HRV,1191097030
Ohrid,41.1169,20.8019,Macedonia,MK,MKD,1807586875
Vranje,42.5542,21.8972,Serbia,RS,SRB,1688474456
Ruma,45.0,19.8333,Serbia,RS,SRB,1688037789
Sombor,45.7833,19.1167,Serbia,RS,SRB,1688575779
Indija,45.05,20.0833,Serbia,RS,SRB,1688349740
Sibenik,43.735,15.8906,Croatia,HR,HRV,1191444936
Veles,41.7153,21.7753,Macedonia,MK,MKD,1807468155
Stip,41.7358,22.1914,Macedonia,MK,MKD,1807614061
Kula,45.6,19.5333,Serbia,RS,SRB,1688477275
Dubrovnik,42.6403,18.1083,Croatia,HR,HRV,1191004286
Bjelovar,45.9,16.8333,Croatia,HR,HRV,1191340640
Brcko,44.8783,18.8092,Bosnia and Herzegovina,BA,BIH,1070370826
Varazdin,46.3081,16.3378,Croatia,HR,HRV,1191291148
Kikinda,45.8333,20.45,Serbia,RS,SRB,1688358284
Becej,45.6167,20.0333,Serbia,RS,SRB,1688492797
Prijepolje,43.5439,19.6514,Serbia,RS,SRB,1688287067
Gostivar,41.8,20.9167,Macedonia,MK,MKD,1807901060
Vrsac,45.1167,21.3033,Serbia,RS,SRB,1688560040
Sid,45.1167,19.2333,Serbia,RS,SRB,1688899483
Bor,44.1303,22.1036,Serbia,RS,SRB,1688966590
Kovin,44.75,20.9667,Serbia,RS,SRB,1688830508
Sisak,45.4872,16.3761,Croatia,HR,HRV,1191526652
Koprivnica,46.15,16.8167,Croatia,HR,HRV,1191924250
Cakovec,46.3858,16.4333,Croatia,HR,HRV,1191424625
Subotica,46.1003,19.6656,Serbia,RS,SRB,1688081964
Backa Palanka,45.25,19.4,Serbia,RS,SRB,1688918464
Apatin,45.6667,18.9833,Serbia,RS,SRB,1688081748
Kocani,41.9167,22.4125,Macedonia,MK,MKD,1807422302
Temerin,45.4167,19.8833,Serbia,RS,SRB,1688171551
Bajina Basta,43.9731,19.5597,Serbia,RS,SRB,1688643521
Vukovar,45.3444,19.0025,Croatia,HR,HRV,1191345427
Vrbas,45.5667,19.65,Serbia,RS,SRB,1688145915
Pozega,45.3331,17.6736,Croatia,HR,HRV,1191353181
Virovitica,45.8333,17.3833,Croatia,HR,HRV,1191128636
Cuprija,43.9231,21.3686,Serbia,RS,SRB,1688642855
Senta,45.9314,20.09,Serbia,RS,SRB,1688368364
Pecinci,44.9,19.9667,Serbia,RS,SRB,1688856329
Trstenik,43.6186,20.9972,Serbia,RS,SRB,1688148503
Struga,41.1775,20.6789,Macedonia,MK,MKD,1807746682
Srbobran,45.5333,19.7833,Serbia,RS,SRB,1688431448
Backa Topola,45.8167,19.6333,Serbia,RS,SRB,1688533352
Titel,45.2047,20.3,Serbia,RS,SRB,1688633486
Debar,41.525,20.5272,Macedonia,MK,MKD,1807621851
Sjenica,43.2667,20.0,Serbia,RS,SRB,1688303533
